it,int, long int, float, double, long double
1,1,1,1,1,'1'
2,2,2,2,2,'2'
3,6,6,6,6,'6'
4,24,24,24,24,'24'
5,120,120,120,120,'120'
6,720,720,720,720,'720'
7,5040,5040,5040,5040,'5040'
8,40320,40320,40320,40320,'40320'
9,362880,362880,362880,362880,'362880'
10,3628800,3628800,3628800,3628800,'3628800'
11,39916800,39916800,39916800,39916800,'39916800'
12,479001600,479001600,479001600,479001600,'479001600'
13,1932053504,6227020800,6227020800,6227020800,'6227020800'
14,1278945280,87178291200,87178289152,87178291200,'87178291200'
15,2004310016,1307674368000,1307674279936,1307674368000,'1307674368000'
16,2004189184,20922789888000,20922788478976,20922789888000,'20922789888000'
17,4006445056,355687428096000,355687414628352,355687428096000,'355687428096000'
18,3396534272,6402373705728000,6402373530419200,6402373705728000,'6402373705728000'
19,109641728,121645100408832000,121645096004222976,121645100408832000,'121645100408832000'
20,2192834560,2432902008176640000,2.43290202316367462e+18,2.43290200817664e+18,'2.43290200817664e+18'
21,3099852800,14197454024290336768,5.10909408371697254e+19,5.109094217170944e+19,'5.109094217170944e+19'
22,3772252160,17196083355034583040,1.12400072480601303e+21,1.12400072777760768e+21,'1.12400072777760768e+21'
23,862453760,8128291617894825984,2.58520174445944856e+22,2.58520167388849782e+22,'2.58520167388849766e+22'
24,3519021056,10611558092380307456,6.20448454699064672e+23,6.2044840173323941e+23,'6.20448401733239439e+23'
25,2076180480,7034535277573963776,1.55112110792462407e+25,1.55112100433309861e+25,'1.5511210043330986e+25'
26,2441084928,16877220553537093632,4.03291499589617303e+26,4.0329146112660565e+26,'4.03291461126605636e+26'
27,1484783616,12963097176472289280,1.08888704151326909e+28,1.08888694504183519e+28,'1.08888694504183522e+28'
28,2919235584,12478583540742619136,3.04888371623715345e+29,3.04888344611713837e+29,'3.04888344611713861e+29'
29,3053453312,11390785281054474240,8.84176307931919991e+30,8.84176199373970077e+30,'8.84176199373970195e+30'
30,1409286144,9682165104862298112,2.65252889961724358e+32,2.65252859812191032e+32,'2.65252859812191059e+32'
31,738197504,4999213071378415616,8.22283968552752067e+33,8.22283865417792243e+33,'8.22283865417792282e+33'
32,2147483648,12400865694432886784,2.63130869936880661e+35,2.63130836933693518e+35,'2.6313083693369353e+35'
33,2147483648,3400198294675128320,8.68331850984665554e+36,8.68331761881188594e+36,'8.6833176188118865e+36'
34,0,4926277576697053184,2.95232822996533287e+38,2.9523279903960412e+38,'2.95232799039604141e+38'
35,0,6399018521010896896,inf,1.03331479663861442e+40,'1.03331479663861449e+40'
36,0,9003737871877668864,inf,3.71993326789901177e+41,'3.71993326789901217e+41'
37,0,1096907932701818880,inf,1.37637530912263431e+43,'1.3763753091226345e+43'
38,0,4789013295250014208,inf,5.23022617466601038e+44,'5.23022617466601112e+44'
39,0,2304077777655037952,inf,2.03978820811974416e+46,'2.03978820811974434e+46'
40,0,18376134811363311616,inf,8.15915283247897684e+47,'8.15915283247897734e+47'
